1957,,,
74. Keith Munson (ITA),3:58.5i* (2),Los Angeles,22-Mar
75. Ken Swenson (ITA),3:59.1* (2),Durham,3-May
76. Steve Foster (Florida TC),3:58.5 (1),Gainesville,6-May
77. Steve Heidenreich (Indiana),3:59.6 (2),Bowling Green,10-May
78. Matt Centrowitz (New York AC),3:59.2 (4),Modesto,24-May
79. Gary Barger (Oregon),3:58.8* (1),Eugene,29-May
80. Mike Durkin (Illinois),3:56.7* (2),Wichita,31-May
,,,
1976,,,
81. Steve Bolt (Alabama),3:59.4i* (1),Baton Rouge,28-Feb
82. Rick Musgrave (Colorado),3:59.3 (5),Wichita,29-May
,,,
1977,,,
83. Steve Scott (UC Irvine),3:59.7i (3),Los Angeles,15-Jan
84. Ron Speirs (New York AC),3:56.9* (4),Philadelphia,30-Apr
85. Steve Lacy (Wisconsin),3:59.64 (2),Wichita,27-May
86. Ed Arriola (Arizona),3:59.3* (4),Eugene,14-Jun
,,,
1978,,,
87. Greg Meyer (Athletic Attic),3:59.1i* (1),Ann Arbor,28-Jan
88. Tom Duits (Western Michigan),3:59.2* (3),Philadelphia,29-Apr
89. Don Paige (Villanova),3:58.10 (2),Westwood,7-May
90. Craig Masback (Oxbridge),3:59.6 (1),Oxford,17-Jun
91. Jerald Jones (Santa Monica TC),3:57.9* (7),Oslo,27-Jun
92. Jeff Jirele (Santa Monica TC),3:58.26* (8),Stockholm,3-Jul
93. Phil Kane (Athletics West),3:59.37 (9),Stockholm,3-Jul
94. Greg Fredericks (Reading AA),3:59.7* (2),University Park,5-Aug
95. Mike Manke (Athletics West),3:58.83* (4),Berlin,18-Aug
,,,
1979,,,
96. Mark Belger (Athletic Attic),3:58.4 (2),Berkeley,9-Jun
97. Ross Donoghue (St John’s),3:58.0 (4),Piscataway,23-Jun
98. Tom Smith (Colorado),3:58.3 (1),Tillsonburg,4-Jul
99. Andy Clifford (Cal),3:59.49 (4),Gateshead,8-Jul
,,,
1980,,,
100. Jim Spivey (Indiana),3:58.9i (3),Louisville,9-Feb
101. Ray Wicksell (Sub-4 TC),3:59.7 (1),Stanford,22-Mar
102. Ron Cornell (UCLA),3:57.7* (4),Westwood,11-May
103. Larry Mangan (Penn State),3:58.4 (1),University Park,16-May
104. Mike Wyatt (Philadelphia Pioneers),3:58.0* (5),Philadelphia,18-May
105. Richie Harris (Colorado State),3:58.3 (1),Tillsonburg,4-Jul
106. Todd Harbour (Baylor),3:58.38 (5),Stockholm,7-Jul
107. Bill McChesney (Oregon),3:59.1 (2),Eugene,26-Jul
,,,
1981,,,
108. Tom Byers (Athletics West),3:56.0i (3),Inglewood,13-Feb
109. Doug Padilla (Athletics West),3:56.6i (3),Daly City,21-Feb
110. Chuck Aragon (Notre Dame),3:59.92i (1),Champaign,28-Feb
111. Dan Aldridge (Sub-4 TC),3:59.9 (2),San José,11-Apr
112. Rudy Chapa (Oregon),3:57.04* (3),Eugene,28-May
113. Ed Spinney (Athletics West),3:57.34* (4),Eugene,28-May
114. Ken Martin (Athletics West),3:57.84* (5),Eugene,28-May
115. John Gregorek (Georgetown),3:57.10 (5),Villanova,30-May
,,,
1982,,,
117. Frank Assumma (UC Riverside),3:57.3i (2),Los Angeles,22-Jan
118. Dan Heikkinen (Athletics West),3:59.05i* (1),Ann Arbor,23-Jan
119. Vince Draddy (Virginia),3:58.2i* (4),Boston,13-Feb
120. Roger Jones (Auburn),3:58.4i (5),Boston,13-Feb
121. Thom Hunt (Athletics West),3:59.5i (6),Boston,13-Feb
122. Mark Fricker (Oregon State),3:58.3* (1),Corvallis,8-May
123. Jim Hill (Oregon),3:56.41* (1),Eugene,15-May
124. Joe Fabris (Aggie Running Club),3:58.3* (9),Eugene,5-Jun
125. Steve Plasencia (Athletics West),3:58.34* (5),London,17-Jul
,,,
1983,,,
126. Chris Fox (Athletics West),3:59.0i* (2),Johnson City,15-Jan
127. Kevin Johnson (East Tennessee),3:59.1i (3),Johnson City,15-Jan
128. Jay Woods (unattached),3:58.2i (2),Daly City,11-Feb
129. Brian Diemer (Michican),3:59.93i* (1),Ann Arbor,12-Feb
130. Dub Myers (Oregon),3:57.06 (1),Eugene,14-May
131. Gary Gustafson (Club Northwest),3:58.4* (4),Vancouver,1-Jun
132. Kevin Ryan (Athletics West),3:57.60 (5),Eugene,4-Jun
133. Adam Dixon (Harvard),3:59.39 (7),Luxembourg,20-Jul
,,,
1984,,,
134. Randy Wilson (Athletics West),3:58.74* (3),Eugene,12-May
135. Mike Blackmore (Oregon),3:59.80 (4),Eugene,12-May
136. Terry Brahm (Indiana),3:59.35 (2),Tillsonburg,7-Jul
137. Brian Theriot (adidas),3:56.10* (8),Oslo,21-Jul
,,,
1985,,,
138. Jim McKeon (Richmond),3:58.62i (6),Johnson City,19-Jan
139. Cliff Sheehan (Harvard),3:59.2* (4),Philadelphia,27-Apr
140. Gary Lewis (Fresno State),3:58.6* (7),San José,25-May
141. Richard Block (Bob Schul RT),3:59.84* (2),Tillsonburg,29-Jun
142. Henry Marsh (Athletics West),3:59.31* (3),Bern,16-Aug
,,,
1986,,,
143. Mike Stahr (New York Pioneers),3:58.79i (1),Allston,26-Jan
144. Jeff Atkinson (Stanford),3:59.9 (2),Modesto,10-May
145. Earl Jones (Santa Monica TC),3:58.76* (4),Westwood,17-May
146. Marty Hemsley (adidas),3:59.70* (4),Eugene,17-May
147. Kevin King (Club Connecticut),3:58.31* (5),Villanova,14-Jun
148. Maurice Smith (Adams State),3:59.70 (7),Belfast,30-Jun
,,,
1987,,,
149. James Murphy (Indiana TC),3:59.99i* (2),Indanapolis,16-Jan
150. Joe Falcon (Arkansas),3:56.77i (1),Fayetteville,31-Jan
151. Gawain Guy (H&R),3:58.56 (2),Modesto,9-May
152. Harold Kuphaldt (Oregon),3:59.73* (2),Eugene,16-May
153. Rich Bergesen (Oregon),3:59.79* (3),Eugene,16-May
,,,
1988,,,
154. Brian Abshire (Athletics West),3:58.62i* (2),Johnson City,22-Jan
155. Steve Ave (New Balance),3:59.09i (3),Allston,31-Jan
156. Roosevelt Jackson (Reebok),3:59.41i* (3),New York,5-Feb
157. John Quade (Arizona),3:57.3i (1),Notre Dame,6-Feb
158. Darryl Frerker (unattached),3:58.1i (2),Notr eDame,6-Feb
159. Karl Van Calcar (Oregon State),3:59.35* (1),Corvallis,7-May
160. Tim Hacker (Athletics West),3:55.7 (4),Westwood,5-Jun
161. Bruce Stirling (Reebok),3:59.1* (5),Eugene,2-Jul
,,,
1989,,,
